carType,color,condition,currency,drive,city,country,make,manufacture_year,mileage,mileage_unit,model,model_variant,price_on_request,type,zip,manufacture_month,fuel_consumption_unit
null,Yellow,null,CHF,null,Zuzwil,CH,Maserati,2000,64600,kilometer,3200 GT,,true,car,null,3,null
null,Yellow,null,CHF,null,Zuzwil,CH,Mercedes-Benz,2001,42000,kilometer,S 400, CDI,true,car,null,4,null
null,Yellow,null,CHF,null,Zuzwil,CH,Ferrari,1999,49000,kilometer,456,M GT,true,car,null,5,null
null,Yellow,null,CHF,null,Zuzwil,CH,Mercedes-Benz,1991,89700,kilometer,190, E 2.5-16 Evo II ABS,true,car,null,7,null
null,Yellow,null,CHF,null,Safenwil,CH,Toyota,1985,58100,kilometer,CAMRY, 2000 GLi Super Liftback,true,car,null,5,null
null,Yellow,null,CHF,null,Zuzwil,CH,Porsche,2006,91600,kilometer,CAYENNE,Cayenne Turbo S,true,car,null,9,null
null,Other,null,CHF,null,Zuzwil,CH,Porsche,2003,121000,kilometer,CAYENNE,Cayenne Turbo,true,car,null,3,null
null,Yellow,null,CHF,null,Zuzwil,CH,Chrysler,1993,28600,kilometer,VIPER,Viper RT/10,true,car,null,10,null
null,Yellow,null,CHF,null,Zuzwil,CH,Mercedes-Benz,1999,128000,kilometer,S 320,,true,car,null,4,null
null,Yellow,null,CHF,null,Zuzwil,CH,Toyota,1990,135800,kilometer,MR2, 2.0,true,car,null,12,null
null,Yellow,null,CHF,null,Zuzwil,CH,Ferrari,1989,31700,kilometer,TESTAR./512,Testarossa,true,car,null,1,null
null,Gold,null,CHF,null,Zuzwil,CH,Chevrolet,2010,13000,kilometer,CORVETTE,Corvette ZR1,true,car,null,2,null
null,Gold,null,CHF,null,Zuzwil,CH,Ruf,1990,46000,kilometer,null,CTR,true,car,null,1,null
null,Gold,null,CHF,null,Zuzwil,CH,Daimler,1996,94800,kilometer,XJ,Six 4.0,true,car,null,1,null
null,Other,null,CHF,null,Zuzwil,CH,Porsche,2001,25900,kilometer,911, Turbo,true,car,null,10,null
null,Other,null,CHF,null,Zuzwil,CH,Porsche,2005,20400,kilometer,911, Carrera Cabrio,true,car,null,6,null
null,Other,null,CHF,null,Zuzwil,CH,Jaguar,2002,32900,kilometer,S-TYPE,S-Type 4.2 V8 S/C R,true,car,null,7,null
null,Other,null,CHF,null,Zuzwil,CH,Maserati,2002,63000,kilometer,SPYDER GT,Spyder GT,true,car,null,5,null
null,Other,null,CHF,null,Zuzwil,CH,Audi,2008,32800,kilometer,RS6, Avant 5.0 V10 quattro,true,car,null,6,null
null,Other,null,CHF,null,Zuzwil,CH,Maserati,2006,46050,kilometer,QUATTROPORTE,Quattroporte 4.2,true,car,null,6,null
null,Other,null,CHF,null,Zuzwil,CH,Chevrolet,1981,27700,kilometer,CORVETTE,,true,car,null,1,null
null,Other,null,CHF,null,Zuzwil,CH,Maserati,2002,88500,kilometer,SPYDER GT,Spyder GT,true,car,null,6,null
null,Other,null,CHF,null,Zuzwil,CH,Lancia,1992,155000,kilometer,DELTA,Delta HF Integrale Evo,true,car,null,2,null
null,Other,null,CHF,null,Zuzwil,CH,Mercedes-Benz,1994,48700,kilometer,SL 600,,true,car,null,7,null
null,Other,null,CHF,null,Zuzwil,CH,Mercedes-Benz,2004,20000,kilometer,SL 600,,true,car,null,3,null
null,Other,null,CHF,null,Safenwil,CH,Austin-Healey,1959,16900,kilometer,null,100/Six BN6 Roadster,true,car,null,1,null
null,Other,null,CHF,null,Zuzwil,CH,Porsche,2006,29500,kilometer,911, Carrera S Cabrio,true,car,null,3,null
null,Other,null,CHF,null,Zuzwil,CH,Porsche,2003,63300,kilometer,911, Turbo,true,car,null,9,null
null,Other,null,CHF,null,Zuzwil,CH,Toyota,1983,158000,kilometer,CELICA,Celica 2800 i Supra,true,car,null,3,null
null,Other,null,CHF,null,Zuzwil,CH,Porsche,2010,47500,kilometer,PANAMERA,Panamera Turbo 4.8,true,car,null,1,null
null,Other,null,CHF,null,Zuzwil,CH,BMW,1998,85800,kilometer,540,i Touring,true,car,null,1,null
null,Other,null,CHF,null,Zuzwil,CH,Maserati,2002,114800,kilometer,COUPÉ GT,Coupé GT,true,car,null,6,null
null,Other,null,CHF,null,Zuzwil,CH,Lamborghini,2015,300,kilometer,HURACAN,Huracan LP610-4 Coupé,true,car,null,7,null
null,Other,null,CHF,null,Zuzwil,CH,Fiat,2004,75200,kilometer,PUNTO,Punto 1.8 16V HGT,true,car,null,5,null
null,Other,null,CHF,null,Zuzwil,CH,Other,2014,200,kilometer,null,Therry T22,true,car,null,4,null
null,Other,null,CHF,null,Zuzwil,CH,Mercedes-Benz,2001,205500,kilometer,S 55 AMG,,true,car,null,7,null
null,Other,null,CHF,null,Zuzwil,CH,Audi,2007,65000,kilometer,R8, Coupé 4.2,true,car,null,6,null
null,Other,null,CHF,null,Zuzwil,CH,Mercedes-Benz,2008,36000,kilometer,CLK 63 AMG, Black Series,true,car,null,7,null
null,Other,null,CHF,null,Zuzwil,CH,Bentley,2007,58000,kilometer,CONTINENTAL,Continental GTC 6.0,true,car,null,2,null
null,Other,null,CHF,null,Zuzwil,CH,Ferrari,1997,62000,kilometer,F550, Maranello,true,car,null,5,null
null,Other,null,CHF,null,Zuzwil,CH,Aston Martin,2012,5000,kilometer,DBS, Coupé,true,car,null,4,null
null,Other,null,CHF,null,Zuzwil,CH,Mercedes-Benz,1999,112800,kilometer,S 500,,true,car,null,9,null
null,Other,null,CHF,null,Zuzwil,CH,Mercedes-Benz,2006,19800,kilometer,CL 65 AMG,,true,car,null,1,null
