MakeText,BodyColorText,ModelTypeText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,ID,InteriorColorText,Km,ModelText,Properties,Seats,TransmissionTypeText,TypeName,TypeNameFull
Mercedes-Benz,Silver,,Cabriolet,4973,Zuzwil,328 g/km,Occasion,null,14.3 l/100km,2,Hinterradantrieb,10,1996,Benzin,320,1054.0,schwarz,27600,SL 500,"""""""Ab MFK""""""",0,Automat,SL 500,MERCEDES-BENZ SL 500
Porsche,Silver, GT2,Coupé,3600,Zuzwil,309 g/km,Occasion,G,12.9 l/100km,2,Hinterradantrieb,9,2001,Benzin,462,1057.0,schwarz,53400,911,"""""""Ab MFK""""""",4,Schaltgetriebe manuell,911 GT2,PORSCHE 911 GT2
Lamborghini,Silver,Murciélago 6.2 Coupé,Coupé,6192,Porrentruy,500 g/km,Occasion,G,21.5 l/100km,2,Allrad,2,2003,Benzin,580,1058.0,null,9000,MURCIÉLAGO,"""""""Ab MFK""""""",2,Schaltgetriebe manuell,Murciélago 6.2 Coupé,LAMBORGHINI Murciélago 6.2 Coupé
Audi,Blue, 4.2 quattro,Limousine,4172,Zuzwil,288 g/km,Occasion,G,12.0 l/100km,4,Allrad,11,2003,Benzin,335,106.0,schwarz,26300,A8,"""""""Ab MFK""""""",5,Automat sequentiell,A8 4.2 quattro,AUDI A8 4.2 quattro
Audi,Silver, 4.2 quattro,Limousine,4172,Zuzwil,314 g/km,Occasion,G,13.1 l/100km,4,Allrad,10,1999,Benzin,310,1066.0,beige,101800,A8,"""""""Ab MFK""""""",5,Automat sequentiell,A8 4.2 quattro,AUDI A8 4.2 quattro
Renault,Silver, 1300,Coupé,1288,Zuzwil,null,Occasion,null,null,2,null,0,1973,Benzin,0,1067.0,schwarz,75700,Alpine A110,"""""""Ab MFK""""""",2,Schaltgetriebe,1300,RENAULT Alpine A110 1300
Maserati,Silver,Quattroporte 4.2,Limousine,4244,Zuzwil,370 g/km,Occasion,G,15.8 l/100km,4,Hinterradantrieb,10,2005,Benzin,400,1068.0,braun,33500,QUATTROPORTE,"""""""Ab MFK""""""",5,Automatisiertes Schaltgetriebe,Quattroporte 4.2,MASERATI Quattroporte 4.2
Jaguar,Other,D-Type XKD525,Coupé,3442,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,7,1956,Benzin,256,1071.0,beige,5300,null,null,2,Schaltgetriebe,D-Type XKD525,JAGUAR D-Type XKD525
Chevrolet,Other, C2,Coupé,5351,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,6,1967,Benzin,0,1072.0,schwarz,21300,CORVETTE,"""""""Ab MFK""""""",2,Schaltgetriebe,C2,CHEVROLET CORVETTE C2
Renault,Other, 1400 Alpine Turbo,Kleinwagen,1397,Zuzwil,null,Occasion,null,null,3,Vorderradantrieb,3,1982,Benzin,108,1073.0,beige,77900,R5,"""""""Ab MFK""""""",4,Schaltgetriebe manuell,R5 1400 Alpine Turbo,RENAULT R5 1400 Alpine Turbo
Maserati,White,Coupé GT,Coupé,4244,Zuzwil,400 g/km,Occasion,null,17.5 l/100km,2,Hinterradantrieb,7,2002,Benzin,390,1077.0,beige,95300,COUPÉ GT,"""""""Ab MFK""""""",4,Automatik-Getriebe,Coupé GT,MASERATI Coupé GT
Aston Martin,White, 4.7,Cabriolet,4735,Zuzwil,312 g/km,Vorführmodell,G,13.2 l/100km,2,Hinterradantrieb,7,2010,Benzin,426,1078.0,schwarz,9000,V8 Vantage,"""""""Ab MFK""""""",2,Automatisiertes Schaltgetriebe,V8 Vantage 4.7,ASTON MARTIN V8 Vantage 4.7
Mercedes-Benz,White, CDI,SUV / Geländewagen,3996,Zuzwil,288 g/km,Occasion,G,10.9 l/100km,5,Allrad,2,2002,Diesel,250,1079.0,schwarz,148300,ML 400,"""""""Ab MFK""""""",5,Automat,ML 400 CDI,MERCEDES-BENZ ML 400 CDI
Audi,Blue, Avant 4.0 TFSI V8 qu,Kombi,3993,Zuzwil,229 g/km,Neu,G,9.8 l/100km,5,Allrad,4,2014,Benzin,560,108.0,schwarz,100,RS6,"""""""Ab MFK"""""," """"Tuning""""""",5,Automat sequentiell,RS6 Avant 4.0 TFSI V8 qu
Triumph,White, Sprint,Limousine,1997,Zuzwil,null,Occasion,null,null,4,Hinterradantrieb,6,1977,Benzin,128,1080.0,mehrfarbig,10800,Dolomite,"""""""Ab MFK""""""",5,Schaltgetriebe manuell,Sprint,TRIUMPH Dolomite Sprint
Porsche,White,Cayenne S,SUV / Geländewagen,4511,Zuzwil,380 g/km,Occasion,null,15.8 l/100km,5,Allrad,3,2003,Benzin,340,1081.0,schwarz,115000,CAYENNE,"""""""Ab MFK""""""",5,Automatik-Getriebe,Cayenne S,PORSCHE Cayenne S
Audi,White, 4.2 quattro,Limousine,4172,Zuzwil,288 g/km,Occasion,G,12.0 l/100km,4,Allrad,9,2003,Benzin,335,1084.0,beige,101300,A8,"""""""Ab MFK""""""",5,Automat sequentiell,A8 4.2 quattro,AUDI A8 4.2 quattro
Mercedes-Benz,White, Avantgarde,Coupé,5439,Zuzwil,304 g/km,Occasion,G,12.7 l/100km,2,Hinterradantrieb,11,2001,Benzin,347,1088.0,null,47500,CLK 55 AMG,"""""""Ab MFK""""""",4,Automat,CLK 55 AMG Avantgarde,MERCEDES-BENZ CLK 55 AMG Avantgarde
Maserati,Blue,Coupé GT,Coupé,4244,Zuzwil,400 g/km,Occasion,null,17.5 l/100km,2,Hinterradantrieb,8,2003,Benzin,390,109.0,blau,61400,COUPÉ GT,"""""""Ab MFK""""""",4,Automatik-Getriebe,Coupé GT,MASERATI Coupé GT
BMW,White,i,Limousine,2979,Zuzwil,238 g/km,Occasion,G,9.9 l/100km,4,Hinterradantrieb,9,2000,Benzin,231,1090.0,schwarz,49700,330,"""""""Ab MFK""""""",5,Automat,330i,BMW 330i
Audi,White, 4.2 quattro,Limousine,4172,Zuzwil,322 g/km,Occasion,null,13.5 l/100km,4,Allrad,3,1997,Benzin,300,1092.0,schwarz,94700,A8,null,5,Automat,A8 4.2 quattro,AUDI A8 4.2 quattro
Porsche,White, Turbo S Cabrio,Cabriolet,3800,Zuzwil,270 g/km,Occasion,G,11.5 l/100km,2,Allrad,7,2011,Benzin,530,1093.0,mehrfarbig,14000,911,"""""""Ab MFK""""""",2,Automatisiertes Schaltgetriebe,911 Turbo S Cabrio,PORSCHE 911 Turbo S Cabrio
McLaren,White,MP4- Coupé 3.8 V8,Coupé,3798,Zuzwil,279 g/km,Occasion,G,12.3 l/100km,2,Hinterradantrieb,3,2012,Benzin,626,1094.0,schwarz,23000,12C,"""""""Ab MFK""""""",2,Automatisiertes Schaltgetriebe,MP4-12C Coupé 3.8 V8,McLAREN MP4-12C Coupé 3.8 V8
Ferrari,White, GTB,Coupé,5999,Zuzwil,490 g/km,Occasion,G,21.3 l/100km,2,Hinterradantrieb,4,2007,Benzin,620,1097.0,beige,22000,599,"""""""Ab MFK""""""",2,Automatisiertes Schaltgetriebe,599 GTB,FERRARI 599 GTB
Mercedes-Benz,White, L,Limousine,6209,Zuzwil,355 g/km,Occasion,G,14.9 l/100km,4,Hinterradantrieb,4,2008,Benzin,525,1098.0,schwarz,46000,S 63 AMG,"""""""Ab MFK""""""",5,Automat sequentiell,S 63 AMG L,MERCEDES-BENZ S 63 AMG L
Audi,Blue, Avant quattro,Kombi,4172,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,10,2002,Benzin,450,110.0,schwarz,81000,RS6,"""""""Ab MFK"""""," """"Tuning""""""",5,Automat,RS6 Avant quattro
Mercedes-Benz,White, 4Matic,Limousine,5461,Zuzwil,296 g/km,Occasion,G,12.6 l/100km,4,Allrad,11,2006,Benzin,388,1100.0,schwarz,62300,S 500,"""""""Ab MFK""""""",5,Automat sequentiell,S 500 4Matic,MERCEDES-BENZ S 500 4Matic
BMW,White,i,Limousine,4398,Zuzwil,329 g/km,Occasion,null,13.8 l/100km,4,Hinterradantrieb,4,1998,Benzin,286,1102.0,grau,85400,740,"""""""Ab MFK""""""",5,Automat,740i,BMW 740i
