MakeText,BodyColorText,ModelTypeText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,ID,InteriorColorText,Km,ModelText,Properties,Seats,TransmissionTypeText,TypeName,TypeNameFull
Alfa Romeo,Silver,,Cabriolet,4691,Porrentruy,null,Occasion,null,null,2,Hinterradantrieb,4,2011,Benzin,450,1000.0,schwarz,23900,8C,"""""""Ab MFK""""""",0,Automatik-Getriebe,null,ALFA ROMEO 8C
BMW,Silver, Turbo,Limousine,1977,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,1974,Benzin,170,1001.0,schwarz,97100,2002,"""""""Ab MFK""""""",4,Schaltgetriebe,Turbo,BMW 2002 Turbo
Lamborghini,Silver,Gallardo 5.0 V10 Coupé SE,Coupé,4961,Zuzwil,400 g/km,Occasion,G,17.0 l/100km,2,Allrad,1,2006,Benzin,520,1004.0,schwarz,20000,GALLARDO,"""""""Ab MFK""""""",2,Automatisiertes Schaltgetriebe,Gallardo 5.0 V10 Coupé SE,LAMBORGHINI Gallardo 5.0 V10 Coupé SE
Mercedes-Benz,Silver, 3.5 V8 Cabrio,Cabriolet,3499,Sursee,null,Occasion,null,null,2,null,2,1971,Benzin,200,1005.0,beige,500,280,null,4,null,3.5 V8 Cabrio,MERCEDES-BENZ 280 3.5 V8 Cabrio
Mercedes-Benz,Silver,,Cabriolet,3199,Zuzwil,297 g/km,Occasion,null,12.5 l/100km,2,Hinterradantrieb,7,1996,Benzin,231,1006.0,schwarz,156800,SL 320,"""""""Ab MFK""""""",2,Automat,SL 320,MERCEDES-BENZ SL 320
Porsche,Silver,Cayenne Turbo,SUV / Geländewagen,4511,Zuzwil,378 g/km,Occasion,G,15.7 l/100km,5,Allrad,4,2004,Benzin,450,1007.0,schwarz,91600,CAYENNE,"""""""Ab MFK""""""",5,Automat,Cayenne Turbo,PORSCHE Cayenne Turbo
Porsche,Blue, Carrera 4 Cabrio TECHART,Cabriolet,3387,Zuzwil,304 g/km,Occasion,null,12.0 l/100km,2,Allrad,5,1999,Benzin,300,101.0,schwarz,80400,911,"""""""Ab MFK""""""",4,Automat,911 Carrera 4 Cabrio TECHART,PORSCHE 911 Carrera 4 Cabrio TECHART
Audi,Silver, Avant quattro,Kombi,4172,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,12,2002,Benzin,450,1011.0,schwarz,47400,RS6,"""""""Ab MFK""""""",5,Automat sequentiell,RS6 Avant quattro,AUDI RS6 Avant quattro
Mercedes-Benz,Silver, CDI,SUV / Geländewagen,3996,Zuzwil,288 g/km,Occasion,G,10.9 l/100km,5,Allrad,11,2002,Diesel,250,1015.0,schwarz,87800,ML 400,"""""""Ab MFK""""""",5,Automat,ML 400 CDI,MERCEDES-BENZ ML 400 CDI
VW,Silver,Golf 2.0 TFSI GTI,Limousine,1984,Zuzwil,194 g/km,Occasion,G,8.1 l/100km,5,Vorderradantrieb,2,2007,Benzin,200,1016.0,grau,87000,GOLF,"""""""Ab MFK""""""",5,Schaltgetriebe manuell,Golf 2.0 TFSI GTI,VW Golf 2.0 TFSI GTI
VW,Silver,Jetta 2.0 TDI Comfort,Limousine,1968,Zuzwil,154 g/km,Occasion,E,5.8 l/100km,4,Vorderradantrieb,3,2009,Diesel,140,1017.0,grau,33500,JETTA,"""""""Ab MFK""""""",5,Automatisiertes Schaltgetriebe,Jetta 2.0 TDI Comfort,VW Jetta 2.0 TDI Comfort
Mercedes-Benz,Silver, E 2.5-16 ABS,Limousine,2497,Zuzwil,null,Occasion,null,null,4,Hinterradantrieb,1,1989,Benzin,195,1018.0,schwarz,198000,190,"""""""Ab MFK""""""",5,Automat,190 E 2.5-16 ABS,MERCEDES-BENZ 190 E 2.5-16 ABS
BMW,Silver, M Coupé,Coupé,3246,Zuzwil,292 g/km,Vorführmodell,G,12.1 l/100km,2,Hinterradantrieb,8,2011,Benzin,343,1020.0,schwarz,10900,Z4,"""""""Ab MFK"""""," """"Tuning""""""",2,Schaltgetriebe manuell,Z4 M Coupé
Renault,Silver, 1600 VF,Coupé,1605,Zuzwil,null,Oldtimer,null,null,2,Hinterradantrieb,8,1976,Benzin,140,1023.0,schwarz,42940,ALPINE,"""""""Ab MFK""""""",4,Schaltgetriebe,1600 VF,RENAULT ALPINE 1600 VF
Audi,Silver, 4.2 quattro,Limousine,4172,Zuzwil,288 g/km,Occasion,G,12.0 l/100km,4,Allrad,8,2002,Benzin,335,1024.0,grau,35100,A8,"""""""Ab MFK""""""",5,Automat sequentiell,A8 4.2 quattro,AUDI A8 4.2 quattro
Toyota,Silver,Corolla 1600 GTi TC16,Coupé,1587,Zuzwil,null,Occasion,null,null,3,Hinterradantrieb,12,1986,Benzin,116,1026.0,schwarz,101400,COROLLA,"""""""Ab MFK""""""",4,Schaltgetriebe manuell,Corolla 1600 GTi TC16,TOYOTA Corolla 1600 GTi TC16
Bentley,Silver,Arnage T,Limousine,6761,Basel,495 g/km,Occasion,G,20.6 l/100km,4,Hinterradantrieb,3,2006,Benzin,457,1029.0,schwarz,15600,ARNAGE,null,5,Automat,Arnage T,BENTLEY Arnage T
Audi,Blue, 4.2 V8 quattro,Limousine,4163,Zuzwil,324 g/km,Occasion,G,13.5 l/100km,4,Allrad,5,2006,Benzin,420,103.0,mehrfarbig,108200,RS4,"""""""Ab MFK""""""",5,Schaltgetriebe manuell,RS4 4.2 V8 quattro,AUDI RS4 4.2 V8 quattro
Porsche,Silver, Turbo,Coupé,3600,Zuzwil,309 g/km,Occasion,G,12.9 l/100km,2,Allrad,5,2001,Benzin,420,1031.0,blau,60800,911,"""""""Ab MFK""""""",4,Schaltgetriebe manuell,911 Turbo,PORSCHE 911 Turbo
Porsche,Silver, Carrera 4 S,Coupé,3596,Zuzwil,277 g/km,Occasion,G,11.4 l/100km,2,Allrad,3,2002,Benzin,320,1035.0,blau,68100,911,"""""""Ab MFK""""""",4,Schaltgetriebe manuell,911 Carrera 4 S,PORSCHE 911 Carrera 4 S
Triumph,Silver, Sprint,Limousine,1997,Zuzwil,null,Occasion,null,null,4,Hinterradantrieb,7,1977,Benzin,128,1037.0,schwarz,12800,Dolomite,"""""""Ab MFK""""""",5,Schaltgetriebe manuell,Sprint,TRIUMPH Dolomite Sprint
Mercedes-Benz,Silver,,Cabriolet,4973,Zuzwil,340 g/km,Occasion,null,14.3 l/100km,2,Hinterradantrieb,6,1996,Benzin,320,1038.0,beige,74400,SL 500,"""""""Ab MFK""""""",0,Automat,SL 500,MERCEDES-BENZ SL 500
BMW,Silver,,Cabriolet,4999,Zuzwil,366 g/km,Occasion,G,15.2 l/100km,2,Hinterradantrieb,2,2007,Benzin,507,1039.0,weiss,32000,M6,"""""""Ab MFK""""""",4,Automatisiertes Schaltgetriebe,M6,BMW M6
Renault,Silver,Alpine A310 V6,Coupé,2664,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,1983,Benzin,150,1041.0,beige,69000,ALPINE,"""""""Ab MFK""""""",4,Schaltgetriebe manuell,Alpine A310 V6,RENAULT Alpine A310 V6
VW,Silver,Phaeton 6.0 W12 4Motion,Limousine,5998,Zuzwil,374 g/km,Occasion,G,15.6 l/100km,4,Allrad,11,2002,Benzin,420,1043.0,grau,31300,PHAETON,"""""""Ab MFK""""""",4,Automat sequentiell,Phaeton 6.0 W12 4Motion,VW Phaeton 6.0 W12 4Motion
Ferrari,Silver, Scuderia,Coupé,4308,Zuzwil,360 g/km,Occasion,G,15.7 l/100km,2,Hinterradantrieb,3,2008,Benzin,506,1044.0,schwarz,19999,F430,"""""""Ab MFK""""""",2,Automatisiertes Schaltgetriebe,F430 Scuderia,FERRARI F430 Scuderia
BMW,Silver,i,Limousine,5379,Zuzwil,327 g/km,Occasion,null,14.2 l/100km,4,Hinterradantrieb,3,1997,Benzin,327,1046.0,schwarz,69600,750,"""""""Ab MFK""""""",5,Automat sequentiell,750i,BMW 750i
Ferrari,Silver,Mondial 3.4 T,Coupé,3402,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,5,1992,Benzin,286,1048.0,null,16500,MONDIAL,"""""""Ab MFK""""""",4,Schaltgetriebe manuell,Mondial 3.4 T,FERRARI Mondial 3.4 T
Ferrari,Blue, Berlinetta,Coupé,6262,Zuzwil,350 g/km,Occasion,G,15.0 l/100km,3,Hinterradantrieb,1,2013,Benzin,736,105.0,braun,12000,F12,"""""""Direkt-/Parallelimport""""""",2,Automatisiertes Schaltgetriebe,F12 Berlinetta,FERRARI F12 Berlinetta
Mercedes-Benz,Silver,,Cabriolet,3199,Zuzwil,274 g/km,Occasion,G,11.5 l/100km,2,Hinterradantrieb,8,1999,Benzin,224,1051.0,null,83600,SL 320,"""""""Ab MFK""""""",2,Automat,SL 320,MERCEDES-BENZ SL 320
Renault,Silver, 1600S,Coupé,1564,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,1970,Benzin,124,1055.0,beige,57700,Alpine A110,"""""""Ab MFK""""""",2,Schaltgetriebe,1600S,RENAULT Alpine A110 1600S
Datsun,Silver, ZX,Coupé,2753,Zuzwil,null,Occasion,null,null,3,Hinterradantrieb,3,1981,Benzin,140,1056.0,rot,50300,280,"""""""Ab MFK""""""",2,Schaltgetriebe,ZX,DATSUN 280 ZX
Mercedes-Benz,Silver, Inspiration,SUV / Geländewagen,3724,Zuzwil,305 g/km,Occasion,G,12.7 l/100km,5,Allrad,10,2003,Benzin,235,1059.0,schwarz,126300,ML 350,"""""""Ab MFK""""""",5,Automat,ML 350 Inspiration,MERCEDES-BENZ ML 350 Inspiration
Porsche,Silver, Turbo,Coupé,3600,Zuzwil,309 g/km,Occasion,null,12.9 l/100km,2,Allrad,3,2003,Benzin,420,1060.0,schwarz,94500,911,"""""""Ab MFK""""""",4,Automatik-Getriebe,911 Turbo,PORSCHE 911 Turbo
BMW,Silver, CSL,Coupé,3246,Zuzwil,287 g/km,Occasion,G,11.9 l/100km,2,Hinterradantrieb,11,2003,Benzin,360,1061.0,null,35000,M3,"""""""Ab MFK""""""",5,Automatisiertes Schaltgetriebe,M3 CSL,BMW M3 CSL
Mitsubishi,Silver, EVO V,Limousine,1997,Zuzwil,null,Occasion,null,null,4,Allrad,1,1999,Benzin,280,1062.0,schwarz,120800,LANCER,"""""""Ab MFK""""""",5,Schaltgetriebe manuell,EVO V,MITSUBISHI LANCER EVO V
Mercedes-Benz,Silver,6.7 BRABUS,Coupé,6700,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,2,2000,Benzin,450,1063.0,schwarz,75300,null,"""""""Ab MFK""""""",4,Automatik-Getriebe,6.7 BRABUS,MERCEDES-BENZ 6.7 BRABUS
Porsche,Silver, Carrera 4,Coupé,3387,Zuzwil,295 g/km,Occasion,G,12.0 l/100km,2,Allrad,11,2000,Benzin,300,1064.0,schwarz,38200,911,"""""""Ab MFK""""""",4,Schaltgetriebe manuell,911 Carrera 4,PORSCHE 911 Carrera 4
Audi,Silver, Roadster 1.8 T,Cabriolet,1781,Zuzwil,199 g/km,Occasion,G,8.3 l/100km,2,Vorderradantrieb,3,2005,Benzin,180,1065.0,schwarz,49900,TT,"""""""Ab MFK""""""",2,Schaltgetriebe manuell,TT Roadster 1.8 T,AUDI TT Roadster 1.8 T
Mercedes-Benz,Silver,,Cabriolet,4971,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,1,1995,Benzin,320,1069.0,null,96600,SL 500,"""""""Ab MFK""""""",0,Automat,SL 500,MERCEDES-BENZ SL 500
Bentley,Blue,Arnage Red Label,Limousine,6761,Zuzwil,456 g/km,Occasion,G,19.2 l/100km,4,Hinterradantrieb,5,2000,Benzin,405,107.0,grau,19300,ARNAGE,"""""""Ab MFK""""""",5,Automat,Arnage Red Label,BENTLEY Arnage Red Label
Bentley,Silver,Continental GT Speed 6.0,Coupé,5998,St. Gallen,338 g/km,Occasion,G,14.5 l/100km,2,Allrad,9,2015,Benzin,635,1070.0,schwarz,5000,CONTINENTAL,"""""""Ab MFK""""""",4,Automat,Continental GT Speed 6.0,BENTLEY Continental GT Speed 6.0
Mercedes-Benz,Other, Avantgarde,Limousine,4973,Zuzwil,315 g/km,Occasion,null,13.5 l/100km,4,Hinterradantrieb,3,1997,Benzin,347,1074.0,schwarz,67400,E 50 AMG,"""""""Ab MFK""""""",5,Automat,E 50 AMG Avantgarde,MERCEDES-BENZ E 50 AMG Avantgarde
Lamborghini,Other,Diablo 5.7 SV,Coupé,5707,Porrentruy,575 g/km,Occasion,null,24.9 l/100km,2,Hinterradantrieb,1,1999,Benzin,530,1075.0,bordeaux,44500,DIABLO,null,2,Schaltgetriebe manuell,Diablo 5.7 SV,LAMBORGHINI Diablo 5.7 SV
Mercedes-Benz,Other,,Limousine,4966,Zuzwil,320 g/km,Occasion,G,13.4 l/100km,4,Hinterradantrieb,10,1999,Benzin,306,1076.0,schwarz,32000,S 500,"""""""Ab MFK""""""",5,Automat,S 500,MERCEDES-BENZ S 500
Maserati,White,Spyder GT,Cabriolet,4244,Zuzwil,430 g/km,Occasion,G,18.6 l/100km,2,Hinterradantrieb,5,2003,Benzin,390,1082.0,braun,78300,SPYDER GT,"""""""Ab MFK""""""",2,Automatisiertes Schaltgetriebe,Spyder GT,MASERATI Spyder GT
Audi,White, 3.0 V6,Limousine,2976,Zuzwil,233 g/km,Occasion,null,9.7 l/100km,4,Vorderradantrieb,2,2004,Benzin,220,1083.0,schwarz,95300,A4,"""""""Ab MFK""""""",5,Automatik-Getriebe,A4 3.0 V6,AUDI A4 3.0 V6
Renault,White, A310 2700 VA,Coupé,2663,Zuzwil,null,Oldtimer,null,null,2,Hinterradantrieb,11,1979,Benzin,150,1085.0,blau,11200,ALPINE,"""""""Ab MFK""""""",0,Schaltgetriebe,A310 2700 VA,RENAULT ALPINE A310 2700 VA
Ferrari,White,,Coupé,5748,Zuzwil,499 g/km,Occasion,G,21.8 l/100km,2,Hinterradantrieb,5,2007,Benzin,517,1086.0,schwarz,26000,575M,"""""""Ab MFK""""""",2,Schaltgetriebe manuell,575M,FERRARI 575M
Mercedes-Benz,White,,Cabriolet,5513,Zuzwil,346 g/km,Occasion,G,14.4 l/100km,2,Hinterradantrieb,1,2003,Benzin,500,1087.0,anthrazit,43000,SL 600,"""""""Ab MFK""""""",2,Automat,SL 600,MERCEDES-BENZ SL 600
Porsche,White,Cayenne Turbo,SUV / Geländewagen,4511,Zuzwil,378 g/km,Neu,G,15.7 l/100km,5,Allrad,1,2007,Benzin,450,1089.0,schwarz,10,CAYENNE,"""""""Ab MFK""""""",5,Automat sequentiell,Cayenne Turbo,PORSCHE Cayenne Turbo
Mercedes-Benz,White,,Coupé,5786,Zuzwil,333 g/km,Occasion,G,13.9 l/100km,2,Hinterradantrieb,11,2000,Benzin,367,1091.0,grau,94000,CL 600,"""""""Ab MFK""""""",4,Automat,CL 600,MERCEDES-BENZ CL 600
Ferrari,White, Spider Italia 4.5 V8,Cabriolet,4497,Zuzwil,275 g/km,Occasion,G,11.8 l/100km,2,Hinterradantrieb,1,2012,Benzin,566,1095.0,schwarz,11700,458,null,2,Automatisiertes Schaltgetriebe,458 Spider Italia 4.5 V8,FERRARI 458 Spider Italia 4.5 V8
Audi,White, Avant 5.0 V10 quattro,Kombi,4991,Zuzwil,333 g/km,Occasion,G,14.0 l/100km,5,Allrad,7,2008,Benzin,580,1096.0,schwarz,120000,RS6,"""""""Ab MFK""""""",5,Automat sequentiell,RS6 Avant 5.0 V10 quattro,AUDI RS6 Avant 5.0 V10 quattro
Chevrolet,White, C1,Cabriolet,5351,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,1,1961,Benzin,327,1099.0,schwarz,67000,CORVETTE,"""""""Ab MFK""""""",2,Schaltgetriebe manuell,C1,CHEVROLET CORVETTE C1
Ruf,Other,RT 12,Coupé,3800,Zuzwil,null,Occasion,null,null,2,null,6,2007,Benzin,650,11.0,schwarz,36000,null,"""""""Ab MFK""""""",0,null,RT 12,RUF RT 12
Bentley,White,Arnage Green Label,Limousine,4398,Zuzwil,390 g/km,Occasion,G,19.9 l/100km,4,Hinterradantrieb,7,2000,Benzin,354,1101.0,grau,34900,ARNAGE,"""""""Ab MFK""""""",4,Automat,Arnage Green Label,BENTLEY Arnage Green Label
Jaguar,White,R 4.0 Supercharged,Limousine,3980,Zuzwil,null,Occasion,null,13.3 l/100km,4,Hinterradantrieb,1,1996,Benzin,320,1104.0,beige,99900,XJ,"""""""Ab MFK""""""",5,Automat,XJR 4.0 Supercharged,JAGUAR XJR 4.0 Supercharged
Mercedes-Benz,White, 4Matic,SUV / Geländewagen,4966,Zuzwil,319 g/km,Occasion,G,13.4 l/100km,5,Allrad,12,2005,Benzin,306,1105.0,schwarz,37500,ML 500,"""""""Ab MFK""""""",5,Automat sequentiell,ML 500 4Matic,MERCEDES-BENZ ML 500 4Matic
Other,White,De Lorean DMC-12,Coupé,2849,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,4,1981,Benzin,132,1106.0,grau,15000,null,null,0,Schaltgetriebe,De Lorean DMC-12,DeLorean De Lorean DMC-12
Autobianchi,White, Abarth Serie II,Kleinwagen,981,Zuzwil,null,Occasion,null,null,3,Vorderradantrieb,6,1974,Benzin,57,1108.0,mehrfarbig,9999,A112,null,2,Schaltgetriebe,Abarth Serie II,AUTOBIANCHI A112 Abarth Serie II
Chevrolet,White, 2500HD 6.6l V8,Pick-up,0,Zuzwil,null,Occasion,null,null,0,Hinterradantrieb,2,2007,null,0,1110.0,mehrfarbig,34500,Silverado,"""""""Ab MFK""""""",5,Automatik-Getriebe,2500HD 6.6l V8,CHEVROLET Silverado 2500HD 6.6l V8
Mercedes-Benz,White,,Coupé,5786,Zuzwil,333 g/km,Occasion,G,13.9 l/100km,2,Hinterradantrieb,1,2001,Benzin,367,1111.0,grau,73400,CL 600,"""""""Ab MFK""""""",4,Automat,CL 600,MERCEDES-BENZ CL 600
Mercedes-Benz,White,,Limousine,6209,Zuzwil,345 g/km,Occasion,G,14.5 l/100km,4,Hinterradantrieb,9,2007,Benzin,515,1116.0,grau,15800,CLS 63 AMG,"""""""Ab MFK""""""",4,Automat sequentiell,CLS 63 AMG,MERCEDES-BENZ CLS 63 AMG
Hummer,White, 3.7 Adventure,SUV / Geländewagen,3653,Zuzwil,327 g/km,Vorführmodell,G,13.8 l/100km,5,Allrad,11,2008,Benzin,245,1117.0,schwarz,150,H3,"""""""Ab MFK""""""",5,Schaltgetriebe manuell,H3 3.7 Adventure,HUMMER H3 3.7 Adventure
Rolls-Royce,White,Phantom 6.7 V12,Limousine,6749,Zuzwil,385 g/km,Occasion,G,15.9 l/100km,4,Hinterradantrieb,11,2004,Benzin,460,1118.0,beige,54000,PHANTOM,"""""""Ab MFK""""""",5,Automat,Phantom 6.7 V12,ROLLS-ROYCE Phantom 6.7 V12
Porsche,White, Turbo,Coupé,3600,Zuzwil,326 g/km,Occasion,G,13.6 l/100km,2,Allrad,2,2008,Benzin,480,1119.0,schwarz,73500,911,"""""""Ab MFK""""""",4,Automat,911 Turbo,PORSCHE 911 Turbo
Other,Blue,Explorer 4.0 Ltd. Edition,SUV / Geländewagen,4011,Zuzwil,350 g/km,Occasion,null,13.7 l/100km,5,Allrad,9,1999,Benzin,197,112.0,beige,50100,EXPLORER,"""""""Ab MFK""""""",5,Automat,Explorer 4.0 Ltd. Edition,FORD (USA) Explorer 4.0 Ltd. Edition
Renault,White, 1300 VC Gordini,Coupé,1255,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,1971,Benzin,0,1120.0,schwarz,31800,Alpine A110,"""""""Ab MFK""""""",2,Schaltgetriebe,1300 VC Gordini,RENAULT Alpine A110 1300 VC Gordini
Audi,White, Avant 5.0 V10 quattro,Kombi,4991,Zuzwil,333 g/km,Occasion,G,14.0 l/100km,5,Allrad,1,2010,Benzin,700,1122.0,schwarz,15000,RS6,"""""""Ab MFK""""""",5,Automat sequentiell,RS6 Avant 5.0 V10 quattro,AUDI RS6 Avant 5.0 V10 quattro
Bentley,White,Continental GT 6.0,Coupé,5998,Zuzwil,410 g/km,Occasion,G,17.1 l/100km,2,Allrad,7,2004,Benzin,560,1123.0,mehrfarbig,79700,CONTINENTAL,"""""""Ab MFK""""""",4,Automat,Continental GT 6.0,BENTLEY Continental GT 6.0
Mazda,White, 1.8i 16V Confort,Cabriolet,1798,Zuzwil,174 g/km,Occasion,G,7.3 l/100km,2,Hinterradantrieb,3,2007,Benzin,126,1126.0,schwarz,6900,MX-5,"""""""Ab MFK""""""",2,Schaltgetriebe manuell,MX-5 1.8i 16V Confort,MAZDA MX-5 1.8i 16V Confort
Audi,White, Avant 5.0 V10 quattro,Kombi,4991,Zuzwil,333 g/km,Occasion,G,14.0 l/100km,5,Allrad,1,2009,Benzin,580,1127.0,null,31500,RS6,"""""""Ab MFK""""""",5,Automat sequentiell,RS6 Avant 5.0 V10 quattro,AUDI RS6 Avant 5.0 V10 quattro
Audi,White, 4.2 quattro,Limousine,4170,Zuzwil,322 g/km,Occasion,null,13.4 l/100km,4,Allrad,3,1996,Benzin,300,1129.0,blau,143700,A8,"""""""Ab MFK""""""",5,Automat sequentiell,A8 4.2 quattro,AUDI A8 4.2 quattro
Mercedes-Benz,Blue, SE,Limousine,4971,Zuzwil,null,Occasion,null,null,4,Hinterradantrieb,8,1991,Benzin,320,113.0,null,91600,500,"""""""Ab MFK""""""",5,Automat,500 SE,MERCEDES-BENZ 500 SE
BMW,White,d xDrive M-Sportpaket,Limousine,1995,Zuzwil,143 g/km,Occasion,D,5.4 l/100km,4,Allrad,2,2009,Diesel,177,1130.0,schwarz,110600,320,"""""""Ab MFK""""""",5,Schaltgetriebe manuell,320d xDrive M-Sportpaket,BMW 320d xDrive M-Sportpaket
BMW,White,i,Limousine,2793,Zuzwil,241 g/km,Occasion,null,10.0 l/100km,4,Hinterradantrieb,11,1998,Benzin,193,1131.0,schwarz,34400,728,"""""""Ab MFK""""""",5,Automatik-Getriebe,728i,BMW 728i
Mercedes-Benz,White,,Limousine,6209,Zuzwil,345 g/km,Occasion,G,14.5 l/100km,4,Hinterradantrieb,8,2010,Benzin,515,1136.0,beige,37500,CLS 63 AMG,"""""""Ab MFK""""""",4,Automat sequentiell,CLS 63 AMG,MERCEDES-BENZ CLS 63 AMG
McLaren,White,MP4- Cabriolet 3.8 V8,Cabriolet,3798,Zuzwil,279 g/km,Occasion,G,12.3 l/100km,2,Hinterradantrieb,3,2013,Benzin,625,1140.0,schwarz,12000,12C,"""""""Ab MFK""""""",2,Automatisiertes Schaltgetriebe,MP4-12C Cabriolet 3.8 V8,McLAREN MP4-12C Cabriolet 3.8 V8
Mercedes-Benz,White,,Cabriolet,5439,Zuzwil,340 g/km,Occasion,G,14.2 l/100km,2,Hinterradantrieb,1,2003,Benzin,500,1143.0,rot,81000,SL 55 AMG,"""""""Ab MFK""""""",2,Automat,SL 55 AMG,MERCEDES-BENZ SL 55 AMG
Porsche,White, Carrera S Cabrio,Cabriolet,3824,Zuzwil,280 g/km,Occasion,null,11.6 l/100km,2,Hinterradantrieb,8,2006,Benzin,355,1144.0,rot,29800,911,"""""""Ab MFK""""""",2,Automatik-Getriebe,911 Carrera S Cabrio,PORSCHE 911 Carrera S Cabrio
Mercedes-Benz,White,,Cabriolet,4966,Zuzwil,304 g/km,Occasion,G,12.7 l/100km,2,Hinterradantrieb,11,2001,Benzin,306,1145.0,anthrazit,15600,SL 500,"""""""Ab MFK""""""",2,Automat,SL 500,MERCEDES-BENZ SL 500
Mercedes-Benz,White,,Coupé,5984,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,8,1993,Benzin,394,1146.0,null,26800,S 600,"""""""Ab MFK""""""",4,Automat,S 600,MERCEDES-BENZ S 600
Ferrari,White,M GT,Coupé,5474,Zuzwil,495 g/km,Occasion,G,22.0 l/100km,2,Hinterradantrieb,3,2000,Benzin,442,1148.0,schwarz,36000,456,"""""""Ab MFK""""""",4,Schaltgetriebe manuell,456M GT,FERRARI 456M GT
Mercedes-Benz,Blue,,Cabriolet,5439,Zuzwil,324 g/km,Occasion,G,13.5 l/100km,2,Hinterradantrieb,12,2008,Benzin,517,115.0,schwarz,41000,SL 55 AMG,"""""""Ab MFK""""""",2,Automat sequentiell,SL 55 AMG,MERCEDES-BENZ SL 55 AMG
BMW,White,,Limousine,4941,Zuzwil,336 g/km,Occasion,null,13.9 l/100km,4,Hinterradantrieb,10,1998,Benzin,400,1150.0,schwarz,39700,M5,"""""""Ab MFK""""""",5,Schaltgetriebe manuell,M5,BMW M5
Lamborghini,White,Reventon Coupé,Coupé,6496,Porrentruy,null,Occasion,G,null,2,Allrad,4,2008,Benzin,650,1152.0,grau,5900,null,"""""""Ab MFK""""""",2,Automatik-Getriebe,Reventon Coupé,LAMBORGHINI Reventon Coupé
Mercedes-Benz,Blue, Avantgarde,Kombi,3199,Zuzwil,259 g/km,Occasion,G,10.8 l/100km,5,Hinterradantrieb,5,2001,Benzin,224,117.0,grau,83000,E 320,"""""""Ab MFK""""""",5,Automat,E 320 Avantgarde,MERCEDES-BENZ E 320 Avantgarde
Porsche,Blue, Turbo,Coupé,3600,Zuzwil,307 g/km,Occasion,G,12.8 l/100km,2,Allrad,3,2009,Benzin,480,119.0,beige,33000,911,"""""""Ab MFK""""""",4,Schaltgetriebe manuell,911 Turbo,PORSCHE 911 Turbo
Mercedes-Benz,Blue, Elégance,Limousine,3199,Zuzwil,260 g/km,Occasion,G,10.8 l/100km,4,Hinterradantrieb,5,2002,Benzin,218,122.0,schwarz,145100,C 320,"""""""Ab MFK""""""",5,Automat,C 320 Elégance,MERCEDES-BENZ C 320 Elégance
Other,Blue, B7 TURBO,Limousine,3428,Zuzwil,null,Occasion,null,null,4,null,5,1986,Benzin,300,123.0,schwarz,199300,5 SERIES,"""""""Ab MFK""""""",0,null,B7 TURBO,BMW-ALPINA 5 SERIES B7 TURBO
Ferrari,Blue, Modena Berlinetta,Coupé,3586,Porrentruy,440 g/km,Occasion,G,19.3 l/100km,2,Hinterradantrieb,11,2003,Benzin,400,124.0,bordeaux,42500,F360,"""""""Ab MFK""""""",2,Automatisiertes Schaltgetriebe,F360 Modena Berlinetta,FERRARI F360 Modena Berlinetta
Mercedes-Benz,Blue, S 4Matic,Limousine,5461,Zuzwil,242 g/km,Occasion,G,10.3 l/100km,4,Allrad,7,2013,Benzin,585,128.0,schwarz,23900,E 63 AMG,"""""""Ab MFK""""""",5,Automatisiertes Schaltgetriebe,E 63 AMG S 4Matic,MERCEDES-BENZ E 63 AMG S 4Matic
Lamborghini,Blue,Murciélago LP640-4 Cpé,Coupé,6496,Zuzwil,495 g/km,Occasion,G,21.3 l/100km,2,Allrad,7,2007,Benzin,641,129.0,mehrfarbig,38000,MURCIÉLAGO,"""""""Ab MFK"""""," """"Direkt-/Parallelimport""""""",2,Automatisiertes Schaltgetriebe,Murciélago LP640-4 Cpé
Porsche,Other, Turbo,Coupé,1984,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,1980,Benzin,170,13.0,mehrfarbig,54000,924,"""""""Ab MFK""""""",4,Schaltgetriebe manuell,Turbo,PORSCHE 924 Turbo
MG,Blue,Roadster,Coupé,1489,Zuzwil,null,Oldtimer,null,null,2,Hinterradantrieb,1,1957,Benzin,68,130.0,schwarz,37000,null,"""""""Ab MFK""""""",2,Schaltgetriebe,Roadster,MG Roadster
