BodyColorText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,ID,InteriorColorText,Km,MakeText,ModelText,ModelTypeText,Properties,Seats,TransmissionTypeText,TypeName,TypeNameFull
violett mét.,Kleinwagen,1397,Zuzwil,null,Occasion,null,null,3,Vorderradantrieb,3,1982,Benzin,108,1073.0,beige,77900,RENAULT,R5,R5 1400 Alpine Turbo,"""Ab MFK""",4,Schaltgetriebe manuell,R5 1400 Alpine Turbo,RENAULT R5 1400 Alpine Turbo
weiss,Coupé,4244,Zuzwil,400 g/km,Occasion,null,17.5 l/100km,2,Hinterradantrieb,7,2002,Benzin,390,1077.0,beige,95300,MASERATI,COUPÉ GT,Coupé GT,"""Ab MFK""",4,Automatik-Getriebe,Coupé GT,MASERATI Coupé GT
weiss,Cabriolet,4735,Zuzwil,312 g/km,Vorführmodell,G,13.2 l/100km,2,Hinterradantrieb,7,2010,Benzin,426,1078.0,schwarz,9000,ASTON MARTIN,V8 Vantage,V8 Vantage 4.7,"""Ab MFK""",2,Automatisiertes Schaltgetriebe,V8 Vantage 4.7,ASTON MARTIN V8 Vantage 4.7
weiss,SUV / Geländewagen,3996,Zuzwil,288 g/km,Occasion,G,10.9 l/100km,5,Allrad,2,2002,Diesel,250,1079.0,schwarz,148300,MERCEDES-BENZ,ML 400,ML 400 CDI,"""Ab MFK""",5,Automat,ML 400 CDI,MERCEDES-BENZ ML 400 CDI
blau mét.,Kombi,3993,Zuzwil,229 g/km,Neu,G,9.8 l/100km,5,Allrad,4,2014,Benzin,560,108.0,schwarz,100,AUDI,RS6,RS6 Avant 4.0 TFSI V8 qu,"""Ab MFK"", ""Tuning""",5,Automat sequentiell,RS6 Avant 4.0 TFSI V8 qu,AUDI RS6 Avant 4.0 TFSI V8 qu
weiss,Limousine,1997,Zuzwil,null,Occasion,null,null,4,Hinterradantrieb,6,1977,Benzin,128,1080.0,mehrfarbig,10800,TRIUMPH,Dolomite,Dolomite Sprint,"""Ab MFK""",5,Schaltgetriebe manuell,Sprint,TRIUMPH Dolomite Sprint
weiss,SUV / Geländewagen,4511,Zuzwil,380 g/km,Occasion,null,15.8 l/100km,5,Allrad,3,2003,Benzin,340,1081.0,schwarz,115000,PORSCHE,CAYENNE,Cayenne S,"""Ab MFK""",5,Automatik-Getriebe,Cayenne S,PORSCHE Cayenne S
weiss,Limousine,4172,Zuzwil,288 g/km,Occasion,G,12.0 l/100km,4,Allrad,9,2003,Benzin,335,1084.0,beige,101300,AUDI,A8,A8 4.2 quattro,"""Ab MFK""",5,Automat sequentiell,A8 4.2 quattro,AUDI A8 4.2 quattro
weiss,Coupé,5439,Zuzwil,304 g/km,Occasion,G,12.7 l/100km,2,Hinterradantrieb,11,2001,Benzin,347,1088.0,null,47500,MERCEDES-BENZ,CLK 55 AMG,CLK 55 AMG Avantgarde,"""Ab MFK""",4,Automat,CLK 55 AMG Avantgarde,MERCEDES-BENZ CLK 55 AMG Avantgarde
blau mét.,Coupé,4244,Zuzwil,400 g/km,Occasion,null,17.5 l/100km,2,Hinterradantrieb,8,2003,Benzin,390,109.0,blau,61400,MASERATI,COUPÉ GT,Coupé GT,"""Ab MFK""",4,Automatik-Getriebe,Coupé GT,MASERATI Coupé GT
weiss,Limousine,2979,Zuzwil,238 g/km,Occasion,G,9.9 l/100km,4,Hinterradantrieb,9,2000,Benzin,231,1090.0,schwarz,49700,BMW,330,330i,"""Ab MFK""",5,Automat,330i,BMW 330i
weiss,Limousine,4172,Zuzwil,322 g/km,Occasion,null,13.5 l/100km,4,Allrad,3,1997,Benzin,300,1092.0,schwarz,94700,AUDI,A8,A8 4.2 quattro,null,5,Automat,A8 4.2 quattro,AUDI A8 4.2 quattro
weiss,Cabriolet,3800,Zuzwil,270 g/km,Occasion,G,11.5 l/100km,2,Allrad,7,2011,Benzin,530,1093.0,mehrfarbig,14000,PORSCHE,911,911 Turbo S Cabrio,"""Ab MFK""",2,Automatisiertes Schaltgetriebe,911 Turbo S Cabrio,PORSCHE 911 Turbo S Cabrio
weiss,Coupé,3798,Zuzwil,279 g/km,Occasion,G,12.3 l/100km,2,Hinterradantrieb,3,2012,Benzin,626,1094.0,schwarz,23000,McLAREN,12C,MP4-12C Coupé 3.8 V8,"""Ab MFK""",2,Automatisiertes Schaltgetriebe,MP4-12C Coupé 3.8 V8,McLAREN MP4-12C Coupé 3.8 V8
weiss,Coupé,5999,Zuzwil,490 g/km,Occasion,G,21.3 l/100km,2,Hinterradantrieb,4,2007,Benzin,620,1097.0,beige,22000,FERRARI,599,599 GTB,"""Ab MFK""",2,Automatisiertes Schaltgetriebe,599 GTB,FERRARI 599 GTB
weiss,Limousine,6209,Zuzwil,355 g/km,Occasion,G,14.9 l/100km,4,Hinterradantrieb,4,2008,Benzin,525,1098.0,schwarz,46000,MERCEDES-BENZ,S 63 AMG,S 63 AMG L,"""Ab MFK""",5,Automat sequentiell,S 63 AMG L,MERCEDES-BENZ S 63 AMG L
blau mét.,Kombi,4172,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,10,2002,Benzin,450,110.0,schwarz,81000,AUDI,RS6,RS6 Avant quattro,"""Ab MFK"", ""Tuning""",5,Automat,RS6 Avant quattro,AUDI RS6 Avant quattro
